date,time,temp,humid,condition
2018/1/6,6:30 PM,41,70,Mostly Cloudy
2018/1/6,7:00 PM,39,75,Mostly Cloudy
2018/1/6,7:30 PM,41,70,Light Rain Shower
2018/1/6,8:00 PM,39,75,Light Rain Shower
2018/1/6,8:30 PM,39,75,Mostly Cloudy
2018/1/6,9:00 PM,39,70,Mostly Cloudy
2018/1/6,9:30 PM,39,75,Mostly Cloudy
2018/1/6,10:00 PM,39,75,Mostly Cloudy
2018/1/6,10:30 PM,37,81,Partly Cloudy
2018/1/6,11:00 PM,37,81,Fair
2018/1/6,11:30 PM,37,81,Fair
2018/1/7,12:00 AM,36,65,Partly Cloudy
2018/1/7,12:30 AM,32,75,Partly Cloudy
2018/1/7,1:00 AM,36,87,Partly Cloudy
2018/1/7,1:30 AM,37,81,Partly Cloudy
2018/1/7,2:00 AM,37,87,Partly Cloudy
2018/1/7,2:30 AM,37,87,Partly Cloudy
2018/1/7,3:00 AM,37,87,Partly Cloudy
2018/1/7,3:30 AM,37,87,Partly Cloudy
2018/1/7,4:00 AM,36,93,Fair
2018/1/7,4:30 AM,36,87,Fair
2018/1/7,5:00 AM,34,93,Partly Cloudy
2018/1/7,5:30 AM,34,93,Fair
2018/1/7,6:00 AM,36,87,Partly Cloudy
2018/1/7,6:30 AM,36,87,Partly Cloudy
2018/1/7,7:00 AM,34,87,Partly Cloudy
2018/1/7,7:30 AM,36,81,Partly Cloudy
2018/1/7,8:00 AM,39,75,Partly Cloudy
2018/1/7,8:30 AM,39,75,Partly Cloudy
2018/1/7,9:00 AM,41,65,Mostly Cloudy
2018/1/7,9:30 AM,39,70,Mostly Cloudy
2018/1/7,10:00 AM,41,65,Mostly Cloudy
2018/1/7,10:30 AM,41,65,Mostly Cloudy
2018/1/7,11:00 AM,41,65,Mostly Cloudy
2018/1/7,11:30 AM,41,70,Mostly Cloudy
2018/1/7,12:00 PM,41,70,Mostly Cloudy
2018/1/7,12:30 PM,43,61,Mostly Cloudy
2018/1/7,1:00 PM,43,61,Mostly Cloudy
2018/1/7,1:30 PM,43,66,Mostly Cloudy
2018/1/7,2:00 PM,41,65,Mostly Cloudy
2018/1/7,2:30 PM,43,61,Mostly Cloudy
2018/1/7,3:00 PM,41,65,Mostly Cloudy
2018/1/7,3:30 PM,41,65,Partly Cloudy
2018/1/7,4:00 PM,41,65,Mostly Cloudy
2018/1/7,4:30 PM,39,75,Mostly Cloudy
2018/1/7,5:00 PM,39,70,Mostly Cloudy
2018/1/7,5:30 PM,37,65,Mostly Cloudy
2018/1/7,6:00 PM,37,70,Mostly Cloudy
2018/1/7,6:30 PM,36,75,Mostly Cloudy
2018/1/7,7:00 PM,36,75,Mostly Cloudy
2018/1/7,7:30 PM,34,81,Mostly Cloudy
2018/1/7,8:00 PM,34,81,Mostly Cloudy
2018/1/7,8:30 PM,36,70,Mostly Cloudy
2018/1/7,9:00 PM,36,70,Mostly Cloudy
2018/1/7,9:30 PM,36,65,Mostly Cloudy
2018/1/7,10:00 PM,36,65,Mostly Cloudy
2018/1/7,10:30 PM,34,70,Partly Cloudy
2018/1/7,11:00 PM,34,75,Partly Cloudy
2018/1/7,11:30 PM,36,65,Partly Cloudy
2018/1/8,12:00 AM,39,87,Mostly Cloudy
2018/1/8,12:30 AM,39,93,Mostly Cloudy
2018/1/8,1:00 AM,32,75,Partly Cloudy
2018/1/8,1:30 AM,32,75,Partly Cloudy
2018/1/8,2:00 AM,30,80,Partly Cloudy
2018/1/8,2:30 AM,28,86,Partly Cloudy
2018/1/8,3:00 AM,28,80,Partly Cloudy
2018/1/8,3:30 AM,28,80,Partly Cloudy
2018/1/8,4:00 AM,28,86,Partly Cloudy
2018/1/8,4:30 AM,28,80,Partly Cloudy
2018/1/8,5:00 AM,32,75,Partly Cloudy
2018/1/8,5:30 AM,30,75,Partly Cloudy
2018/1/8,6:00 AM,28,80,Partly Cloudy
2018/1/8,6:30 AM,28,80,Partly Cloudy
2018/1/8,7:00 AM,28,80,Partly Cloudy
2018/1/8,7:30 AM,28,80,Partly Cloudy
2018/1/8,8:00 AM,28,80,Partly Cloudy
2018/1/8,8:30 AM,30,75,Partly Cloudy
2018/1/8,9:00 AM,28,80,Fair
2018/1/8,9:30 AM,30,75,Fair
2018/1/8,10:00 AM,30,75,Fair
2018/1/8,10:30 AM,30,80,Fair
2018/1/8,11:00 AM,34,75,Partly Cloudy
2018/1/8,11:30 AM,37,70,Partly Cloudy
2018/1/8,12:00 PM,41,57,Fair
2018/1/8,12:30 PM,41,57,Fair
2018/1/8,1:00 PM,41,61,Fair
